tri_id,valid,p0x_m,p0y_m,p1x_m,p1y_m,p2x_m,p2y_m,foot_area_m2,att,Ponplane_W,I_Wm2,status_code,status_label
676,1,0.00176134252538258,-0.003841353141927039,0.001801014033258595,-0.004473600253658813,0.002308631446052369,-0.004416314205556827,1.616061335060416e-07,0.5921512334283909,0.0009243288472602573,5719.639639950308,0,ok
677,1,0.001761342525382581,-0.003841353141927039,0.002308631446052369,-0.004416314205556828,0.002196443164920101,-0.00379225081498248,1.385195430051784e-07,0.5977301006494036,0.0007997462381462506,5773.526397761454,0,ok
678,1,0.002206730573485032,-0.003790405125735997,0.002319715062874894,-0.00441432566663059,0.002817230410757297,-0.004298540195761393,1.617460036295358e-07,0.5860280231266292,0.0009146684153778828,5654.967633530197,0,ok
679,1,0.002206730573485031,-0.003790405125735997,0.002817230410757297,-0.004298540195761393,0.002633172300241377,-0.003691160436419542,1.386394316824596e-07,0.591895432577605,0.0007918510515151085,5711.586104368691,0,ok
680,1,0.002643355010510337,-0.003688078395183134,0.002828217463184313,-0.004295214701099146,0.003308884820138649,-0.004122473556172078,1.618819776022987e-07,0.580118621666032,0.0009053464675797664,5592.632861231556,0,ok
681,1,0.002643355010510337,-0.003688078395183134,0.003308884820138648,-0.004122473556172078,0.003055355602185482,-0.003540014556674219,1.387559808019702e-07,0.586287918857326,0.0007842637840385062,5652.107963243704,0,ok
682,1,0.003065277750254094,-0.003535699249040525,0.003319605480279879,-0.004117810962323872,0.003776899119563333,-0.003890433210157307,1.620122257018777e-07,0.5744966753755728,0.0008964790648756305,5533.40379710147,0,ok
683,1,0.003065277750254094,-0.003535699249040524,0.003776899119563333,-0.003890433210157306,0.003457243726782768,-0.003340804032897754,1.388676220301812e-07,0.5809770709796096,0.000777078396690945,5595.821296068975,0,ok
684,1,0.003466747217203121,-0.003335280158910454,0.003787180428893985,-0.003884457231368992,0.00421488445324242,-0.003605507516641215,1.621349984804401e-07,0.5692300745482286,0.0008881731462634234,5477.985349169214,0,ok
685,1,0.003466747217203121,-0.003335280158910454,0.00421488445324242,-0.003605507516641215,0.003833350666644637,-0.003096180403429503,1.389728558403771e-07,0.5760268040127169,0.0007703812496325434,5543.393671908101,0,ok
686,1,0.003842278604886615,-0.003089495129532473,0.004224554176079747,-0.003598266791635755,0.004616848292214881,-0.003271515151028388,1.622486497754422e-07,0.5643804881748318,0.0008805258049137618,5427.01468475972,0,ok
687,1,0.003842278604886615,-0.003089495129532474,0.004616848292214882,-0.003271515151028389,0.004178530704431018,-0.002809422294726159,1.390702712360936e-07,0.5714950066924199,0.0007642505285236199,5495.427036495706,0,ok
688,1,0.004186731048096141,-0.002801645470987489,0.004625739034327894,-0.003263083585579135,0.004977279219166932,-0.002892955293110351,1.623516582097214e-07,0.5600030449440317,0.0008736237961198781,5381.058658429929,0,ok
689,1,0.004186731048096141,-0.002801645470987489,0.004977279219166932,-0.002892955293110351,0.004488051206529601,-0.002484392648871389,1.39158564179761e-07,0.5674332426036595,0.000758755849006241,5452.455287093235,0,ok
690,1,0.004495380503545135,-0.002475616344366563,0.00498523265942343,-0.002883431622094697,0.005291225521861734,-0.002474947700398467,1.624426469313113e-07,0.5561461372689627,0.00086754323975283,5340.612555517332,0,ok
691,1,0.004495380503545135,-0.002475616344366563,0.005291225521861734,-0.002474947700398466,0.004757660099920825,-0.002125487268626937,1.392365545125524e-07,0.5638865610510537,0.0007539580099209927,5414.943026710865,0,ok
692,1,0.004763987173183852,-0.002115824607166639,0.005298096594420393,-0.002464454247068087,0.005554366314848319,-0.002023163430956648,1.625204013703576e-07,0.5528513231872837,0.0008623494769752193,5306.099847797355,0,ok
693,1,0.004763987173183851,-0.002115824607166639,0.005554366314848319,-0.002023163430956648,0.004983646933550645,-0.001737575336213977,1.39303201174592e-07,0.560893394779329,0.0007499088639056702,5383.285219453009,0,ok
694,1,0.004988856369396861,-0.001727158645233914,0.005560027176776294,-0.002011844076783711,0.005763074005874266,-0.001543747157235029,1.625838848185099e-07,0.5501533006599606,0.0008580970405149514,5277.872659229623,0,ok
695,1,0.004988856369396861,-0.001727158645233914,0.005763074005874267,-0.001543747157235029,0.005162896508623695,-0.001325932714192187,1.393576155587229e-07,0.558485521688812,0.0007466512740410943,5357.807472864434,0,ok
696,1,0.005166891811179623,-0.001314911030072718,0.005767417630350269,-0.001531764571125985,0.005914467047854476,-0.001043232176568455,1.62632251664333e-07,0.5480799298717588,0.0008548296995687471,5256.212656595842,0,ok
697,1,0.005166891811179623,-0.001314911030072718,0.005914467047854475,-0.001043232176568454,0.005292934169040371,-0.0008961689775948338,1.393990728551425e-07,0.5566880689196171,0.0007442191269219887,5338.766691047862,0,ok
698,1,0.005295640453761781,-0.0008847049794559387,0.005917410296050157,-0.001030764385736741,0.006006452067191505,-0.0005284493700770911,1.626648581464402e-07,0.546652281391268,0.0008525805440376092,5241.332109176695,0,ok
699,1,0.005295640453761781,-0.000884704979455939,0.006006452067191504,-0.0005284493700770915,0.005371961971882937,-0.0004541492517476678,1.394270212683768e-07,0.5555195399518583,0.0007426373756645267,5326.351871457235,0,ok
700,1,0.005373328088849354,-0.0004424157214718892,0.006007938111884742,-0.0005156857848000687,0.006037754631639353,-6.431485297875395e-06,1.626812705143018e-07,0.5458846912522323,0.000851372077929638,5233.374900737523,0,ok
701,1,0.005373328088849354,-0.000442415721471889,0.006037754631639353,-6.431485297875153e-06,0.005398885105781879,-5.912036184294816e-06,1.394410890122584e-07,0.5549918484834176,0.0007419220906369741,5320.684856181458,0,ok
702,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,invalid_meniscus_nodes
703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,invalid_meniscus_nodes
704,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,invalid_meniscus_nodes
