tri_id,v0x_m,v0y_m,v0z_m,v1x_m,v1y_m,v1z_m,v2x_m,v2y_m,v2z_m,area_face_m2,Sdotn_Wm2,Pin_W,R,T,A
10,0.0015,0,0.001962659759514668,0.001748209986717872,0.0005754154269783051,0.001991315367256284,0.001679730025832283,0.000600340094384373,0.001986139255322377,2.287264715069943e-08,9763.074877525269,0.0002233073667794936,0.02037095647464112,0.9796290435253593,-4.440892098500626e-16
11,0.0015,0,0.001962659759514668,0.001679730025832283,0.000600340094384373,0.001986139255322377,0.001608819524671277,0.0006171461918876504,0.001980779429081939,2.286962133140383e-08,9764.447199990227,0.000223309209974263,0.02036287054735955,0.9796371294526407,-2.220446049250313e-16
12,0.0015,0,0.001962659759514668,0.001608819524671277,0.0006171461918876504,0.001980779429081939,0.001536437426117231,0.0006256064458499947,0.001975308370990174,2.286651038906882e-08,9765.858490213237,0.0002233111046246369,0.02035455888904208,0.9796454411109576,2.220446049250313e-16
13,0.0015,0,0.001962659759514668,0.001536437426117231,0.0006256064458499947,0.001975308370990174,0.001463562573882769,0.0006256064458499947,0.001969800067722263,2.286335636780946e-08,9767.289697419612,0.0002233130250997385,0.02034613393998892,0.9796538660600111,-1.110223024625157e-16
14,0.0015,0,0.001962659759514668,0.001463562573882769,0.0006256064458499947,0.001969800067722263,0.001391180475328724,0.0006171461918876504,0.001964329009630498,2.286020191139018e-08,9768.721478967405,0.000223314945425329,0.02033770964683685,0.9796622903531633,-2.220446049250313e-16
15,0.0015,0,0.001962659759514668,0.001391180475328724,0.0006171461918876504,0.001964329009630498,0.001320269974167717,0.000600340094384373,0.001958969183390059,2.285708968703393e-08,9770.134461252195,0.0002233168396352223,0.02032939992086287,0.979670600079137,1.110223024625157e-16
16,0.0015,0,0.001962659759514668,0.001320269974167717,0.000600340094384373,0.001958969183390059,0.001251790013282128,0.0005754154269783051,0.001953793071456152,2.285406180797001e-08,9771.509502280807,0.0002233186821222919,0.02032131709819475,0.9796786829018055,-2.220446049250313e-16
17,0.0015,0,0.001962659759514668,0.001251790013282128,0.0005754154269783051,0.001953793071456152,0.001186666666666667,0.0005427092530382483,0.001948870671863147,2.28511592625476e-08,9772.827952335345,0.0002233204479842919,0.02031357042271726,0.9796864295772829,-2.220446049250313e-16
18,0.0015,0,0.001962659759514668,0.001186666666666667,0.0005427092530382483,0.001948870671863147,0.001125780615866254,0.0005026638674598276,0.001944268551621241,2.284842135771e-08,9774.071909107815,0.0002233221133598523,0.02030626457208401,0.9796937354279158,1.110223024625157e-16
19,0.0015,0,0.001962659759514668,0.001125780615866254,0.0005026638674598276,0.001944268551621241,0.001069955240268927,0.0004558208153857772,0.001940048946511844,2.284588518447493e-08,9775.224463699396,0.000223323655750147,0.02029949824658801,0.9797005017534121,-1.110223024625157e-16
20,0.0015,0,0.001962659759514668,0.001069955240268927,0.0004558208153857772,0.001940048946511844,0.001019945482312107,0.0004028135687368979,0.001936268919455395,2.28435851128088e-08,9776.26993394831,0.0002233250543219419,0.02029336283973607,0.9797066371602638,1.110223024625157e-16
21,0.0015,0,0.001962659759514668,0.001019945482312107,0.0004028135687368979,0.001936268919455395,0.0009764276381812267,0.0003443589595910386,0.001932979588833257,2.284155232291406e-08,9777.194081679598,0.0002233262901879702,0.02028794120821771,0.979712058791782,2.220446049250313e-16
22,0.0015,0,0.001962659759514668,0.0009764276381812267,0.0003443589595910386,0.001932979588833257,0.0009399902120639951,0.0002812474862589564,0.001930225437199302,2.283981437948532e-08,9777.984310658794,0.0002233273466609666,0.02028330655758275,0.9797166934424172,1.110223024625157e-16
23,0.0015,0,0.001962659759514668,0.0009399902120639951,0.0002812474862589564,0.001930225437199302,0.0009111259576408308,0.0002143326231507525,0.001928043709729675,2.28383948549038e-08,9778.629842278962,0.0002233282094779127,0.02027952145836259,0.9797204785416375,0
24,0.0015,0,0.001962659759514668,0.0009111259576408308,0.0002143326231507525,0.001928043709729675,0.0008902252144366438,0.0001445192789985959,0.001926463910545685,2.283731300669558e-08,9779.121866314497,0.0002233288669916452,0.02027663700560794,0.9797233629943919,2.220446049250313e-16
25,0.0015,0,0.001962659759514668,0.0008902252144366438,0.0001445192789985959,0.001926463910545685,0.0008775706291483824,7.275155951847742e-05,0.001925507403721176,2.283658351381121e-08,9779.453664430737,0.0002233293103272195,0.02027469213289878,0.9797253078671013,-1.110223024625157e-16
26,0.0015,0,0.001962659759514668,0.0008775706291483824,7.275155951847742e-05,0.001925507403721176,0.0008733333333333334,7.674453274656746e-20,0.001925187124370076,2.283621627547596e-08,9779.620704540548,0.0002233295335010105,0.02027371308983177,0.9797262869101683,0
27,0.0015,0,0.001962659759514668,0.0008733333333333334,7.674453274656746e-20,0.001925187124370076,0.0008775706291483824,-7.275155951847754e-05,0.001925507403721176,2.283621627547604e-08,9779.620704540548,0.0002233295335010114,0.02027371308983177,0.9797262869101683,0
28,0.0015,0,0.001962659759514668,0.0008775706291483824,-7.275155951847754e-05,0.001925507403721176,0.0008902252144366437,-0.0001445192789985958,0.001926463910545685,2.283658351381111e-08,9779.453664430734,0.0002233293103272185,0.02027469213289878,0.9797253078671013,-1.110223024625157e-16
29,0.0015,0,0.001962659759514668,0.0008902252144366437,-0.0001445192789985958,0.001926463910545685,0.0009111259576408307,-0.0002143326231507521,0.001928043709729675,2.283731300669552e-08,9779.121866314499,0.0002233288669916446,0.02027663700560794,0.9797233629943919,2.220446049250313e-16
30,0.0015,0,0.001962659759514668,0.0009111259576408307,-0.0002143326231507521,0.001928043709729675,0.000939990212063995,-0.0002812474862589563,0.001930225437199302,2.283839485490387e-08,9778.629842278962,0.0002233282094779133,0.02027952145836259,0.9797204785416375,-1.110223024625157e-16
31,0.0015,0,0.001962659759514668,0.000939990212063995,-0.0002812474862589563,0.001930225437199302,0.0009764276381812265,-0.0003443589595910384,0.001932979588833257,2.283981437948529e-08,9777.984310658796,0.0002233273466609664,0.02028330655758275,0.9797166934424172,1.110223024625157e-16
32,0.0015,0,0.001962659759514668,0.0009764276381812265,-0.0003443589595910384,0.001932979588833257,0.001019945482312107,-0.0004028135687368979,0.001936268919455395,2.284155232291421e-08,9777.1940816796,0.0002233262901879717,0.02028794120821771,0.979712058791782,2.220446049250313e-16
