tri_id,foot_cx_m,foot_cy_m,foot_area_m2,path_len_m,alpha_dot_disp,att,Ponplane_W,I_Wm2
35,0.001293297187258239,-0.0003528985152024514,2.282183581607318e-08,0.001352127196856429,0.1926712874565567,0.6802175708104699,0.0001519076254578983,6656.24039547736
36,0.001335889148884348,-0.0003774691355728385,2.282319964333047e-08,0.001355312563753144,0.193125186130021,0.6796003513018574,0.000151768654903014,6649.75363992685
37,0.001381050616439501,-0.0003969371211799101,2.2824645594259e-08,0.001358689946085522,0.19360644603199,0.6789465372099488,0.0001516214459212188,6642.882812575001
38,0.00142817127656696,-0.0004110388058021328,2.282615410457095e-08,0.001362213678311562,0.1941085600536722,0.6782650622927194,0.0001514680101461978,6635.721876418341
39,0.001476614218876949,-0.0004195830073975688,2.282770476648756e-08,0.001365836113856505,0.1946247387991271,0.6775652115850557,0.0001513104382472173,6628.368458196906
40,0.001525724532058174,-0.0004224536394539298,2.282927660514185e-08,0.001369508269135618,0.1951480023552541,0.6768564921325565,0.0001511508708165185,6620.922486106049
41,0.001574838149857422,-0.000419611310024875,2.283084836248373e-08,0.001373180485777402,0.1956712746552513,0.6761485021619035,0.0001509914689080696,6613.484812775632
42,0.001623290827868708,-0.0004110938852550125,2.28323987848456e-08,0.001376803102102281,0.1961874791609327,0.6754508005739269,0.0001508343846526466,6606.155843456928
43,0.001670427129926722,-0.0003970160081112147,2.283390691027537e-08,0.001380327124779636,0.1966896345704585,0.6747727785565872,0.0001506817323539533,6599.034188325683
44,0.001715609302381374,-0.0003775675771681899,2.283535235174402e-08,0.001383704891576416,0.1971709492566603,0.674123535000844,0.0001505355604444922,6592.215356510372
45,0.001758225915669677,-0.0003530112044504568,2.28367155724271e-08,0.001386890716224056,0.1976249131573162,0.6735117572689294,0.0001503978246497999,6585.790507956812
46,0.001797700155402098,-0.0003236786853146266,2.283797814935349e-08,0.001389841506665844,0.1980453858722741,0.6729456087180423,0.0001502703626764106,6579.845277619925
47,0.001833497649624329,-0.0002899665269665834,2.283912302188003e-08,0.001392517348301391,0.1984266797728378,0.6724326242287285,0.0001501548707041341,6574.458684787708
48,0.001865133724957401,-0.0002523305952501716,2.284013472168157e-08,0.001394882044313948,0.1987636369956785,0.6719796148314467,0.000150052881928178,6569.702138654047
49,0.001892179991890141,-0.0002112799516241998,2.284099958117105e-08,0.001396903605743909,0.1990516992758298,0.6715925823714779,0.0001499657473618942,6565.638549615766
50,0.001914270168503763,-0.0001673699635776031,2.284170591758047e-08,0.001398554684650233,0.1992869696699994,0.6712766450048641,0.0001498946190778382,6562.321554208852
51,0.0019311050622307,-0.000121194781944849,2.284224419025429e-08,0.001399812944471578,0.1994662653311587,0.671035974178904,0.0001498404360334555,6559.794860147121
52,0.001942456640747495,-7.337928751595164e-05,2.284260712905655e-08,0.001400661362550325,0.1995871606166856,0.6708737436212096,0.0001498039125985809,6558.091716598556
53,0.001948171135613536,-2.457061684747138e-05,2.284278983220267e-08,0.001401088460703634,0.1996480199435738,0.6707920907417222,0.0001497855298752248,6557.234513626016
54,0.002586538119960097,4.950892270205152e-05,4.576222592537271e-08,0.00147176074578586,0.2097184631576749,0.657416889767426,0.0002935360591843007,6414.37459058456
55,0.002375449306589391,7.374177276919524e-05,2.288111296268639e-08,0.001445958468402093,0.2060417691200158,0.6622689489587668,0.000147851249658537,6461.715822112626
56,0.002573601721733589,0.0001721058316861776,4.576113107990751e-08,0.001470797972919046,0.2095812728931739,0.6575972969103869,0.0002936174941811891,6416.307622914258
57,0.002361120473711906,0.0001717248986749799,2.288056553995374e-08,0.001444890407459864,0.2058895758372402,0.662470565412725,0.0001478967053994649,6463.857072991033
58,0.002546489116786559,0.000292369248746905,4.575895613649153e-08,0.001468778654829578,0.2092935302776985,0.6579758433561691,0.000293788271071705,6420.344690455402
59,0.002335488852679973,0.0002673801302453864,2.287947806824573e-08,0.001442982364780369,0.2056176894049341,0.6628308968901617,0.0001479780338264316,6467.71894817869
60,0.002505568838046928,0.0004086689514389877,4.575573039385018e-08,0.001465730134066557,0.2088591314862162,0.6585477395735791,0.0002940462304875476,6426.435070678469
61,0.00229890269465282,0.0003594108742424282,2.287786519692498e-08,0.001440260173352108,0.2052297908933139,0.6633453186445127,0.0001480941917629846,6473.252223852161
62,0.002451396983099711,0.0005194288577722196,4.57514973118008e-08,0.001461693686893623,0.2082839581775499,0.6593057336325128,0.0002943881033825869,6434.502053043293
63,0.002251859043777936,0.0004465700090861193,2.287574865590042e-08,0.001436760688124151,0.2047311319462359,0.6640072148063823,0.0001482436862199049,6480.386213793615
64,0.002384709547551211,0.0006231485192398292,4.574631393226909e-08,0.001456723962402233,0.2075757975708561,0.6602401839138364,0.0002948095436988246,6444.443679884516
65,0.002194996892914617,0.0005276768880999276,2.287315696613463e-08,0.001432531285353532,0.2041284634407323,0.6648080498190475,0.0001484245904669423,6489.029506801167
66,0.002306412288257253,0.0007184235524883321,4.574025011880446e-08,0.001450888240091223,0.2067442366544668,0.66133915738866,0.0002953051725272582,6456.133750039423
67,0.002129088391255408,0.0006016334118320958,2.287012505940218e-08,0.00142762921914609,0.2034299437973343,0.6657374618442167,0.000148634565057387,6499.070935175389
