tri_id,cx_m,cy_m,cz_m,area_face_m2,Sdotn_Wm2,Pin_W
321,-0.0005621099842171306,0.0003142729178750432,0.001918930759093266,6.843732686861951e-08,9790.445334638269,0.0006700319075559902
322,-0.0007878907542093298,0.0001697536388764474,0.001924952014219225,9.123947510527762e-08,9791.618382897232,0.0008933821216867306
323,-0.0005846515930738398,7.275155951847758e-05,0.001917226933782857,6.84296063289582e-08,9791.618382897232,0.0006700365912650478
324,-0.0007921280500243789,-9.700207935796987e-05,0.001924631734868126,9.123947510527795e-08,9791.618382897233,0.0008933821216867341
325,-0.0005790018653204411,-0.0001697536388764475,0.001917653972917657,6.842960632895849e-08,9791.618382897232,0.0006700365912650507
326,-0.0007653682460715827,-0.0003624460108745753,0.001926654395786704,9.124976915815899e-08,9790.445334638269,0.0008933758767413167
327,-0.0005452372038327823,-0.0004099632105152011,0.001920206101525945,6.843732686861921e-08,9790.445334638272,0.0006700319075559875
328,-0.0007079732227933906,-0.000622988481864393,0.00193099264395588,9.127021461056879e-08,9788.116242817769,0.0008933634701151719
329,-0.0004838142177347514,-0.0006446287330170174,0.001924848806446432,6.845266095792656e-08,9788.116242817769,0.0006700226025863787
330,-0.0006207191494194018,-0.0008751061023636966,0.001937587812011359,9.130052827625228e-08,9784.664822263187,0.000893345067278691
331,-0.000395563547543181,-0.0008705767577549834,0.001931519303059551,6.847539620718928e-08,9784.66482226319,0.0006700088004590192
332,-0.000504785987609043,-0.001115389414058949,0.001946350711619096,9.134029063725116e-08,9780.140916651686,0.0008933209138002369
333,-0.0002816786321798099,-0.001084751725304712,0.001940127384341741,6.850521797793834e-08,9780.140916651686,0.0006699906853501774
334,-0.0003617415344943287,-0.00134058899736162,0.001957162839594509,9.138895204771175e-08,9774.609645860668,0.0008932913322106613
335,-0.0001436995697571902,-0.0012842572866438,0.001950556640760684,6.854171403578378e-08,9774.60964586067,0.0006699684991579958
336,-0.0001935202209131807,-0.001547659414233798,0.001969877980454762,9.144584082602153e-08,9768.150304077548,0.0008932567178713293
337,1.650770960627003e-05,-0.001466395471303711,0.001962666034514536,6.858438061951614e-08,9768.150304077548,0.0006699425384034969
338,-2.396951550831759e-06,-0.00173380039251325,0.001984324183732339,9.151017308834507e-08,9760.855036586594,0.0008932175338882839
339,0.0001967766772901863,-0.001628703172792041,0.001976291806826246,6.863262981625879e-08,9760.855036586596,0.000669913150416213
340,0.0002090436592434812,-0.001896494694790595,0.002000306089310141,9.158106414816517e-08,9752.827327722351,0.0008931743051261189
341,0.0003946695047551423,-0.001768985457882406,0.001991249692500089,6.868579811112387e-08,9752.827327722345,0.0006698807288445887
342,0.0004379422399317262,-0.002033542159726986,0.002017607569331928,9.165754128292239e-08,9744.180335690467,0.0008931276113867896
343,0.0006075100309916327,-0.00188534524932096,0.002007337411792341,6.874315596219183e-08,9744.180335690464,0.0006698457085400923
344,0.0006812033298819216,-0.002143089455461876,0.002035994650960817,9.17385576506013e-08,9735.035111750047,0.0008930780798299096
345,0.0008324199530068003,-0.001976208980541842,0.002024337405897796,6.880391823795092e-08,9735.035111750043,0.0006698085598724314
346,0.0009355372401629701,-0.00222365514274707,0.002055218680460518,9.182300712640409e-08,9725.518741653808,0.0008930263767228542
347,0.001066357749934738,-0.002040347875455557,0.002042019779059394,6.886725534480308e-08,9725.518741653808,0.0006697697825421408
348,0.001197504540944046,-0.002274149708871177,0.002075019685810562,9.190973982227347e-08,9715.762446354744,0.0008929731986194797
349,0.001306159814388516,-0.002076894565537638,0.002060145407513949,6.893230486670514e-08,9715.762446354745,0.0006697298989646103
350,0.001463562573882767,-0.002293890301449981,0.002095129892381893,9.19975780499371e-08,9705.899676974585,0.0008929192630773286
351,0.001548583234822974,-0.002085354819499982,0.00207846917323084,6.899818353745278e-08,9705.899676974585,0.000669689447307996
352,0.001730113360501908,-0.002282609962833521,0.002115277344129372,9.208533249063493e-08,9696.06423610011,0.0008928652990318329
353,0.00179034965035021,-0.002065614226921179,0.002096743278712868,6.906399936797622e-08,9696.064236100099,0.000669648974273874
354,0.001993552258676023,-0.002240461240250348,0.002135189581330741,9.217181834147031e-08,9686.388453865042,0.0008928120369545641
355,0.002028189584946604,-0.002017939745451187,0.002114720598032324,6.912886375610277e-08,9686.388453865038,0.0006696090277159232
356,0.00225031670923249,-0.002168014122867944,0.002154597325136974,9.225587121856183e-08,9677.001443235007,0.0008927601989289258
357,0.002258886661507317,-0.001942976090667085,0.002132158018785212,6.919190341392133e-08,9677.001443235004,0.0006695701491966937
358,0.002496934413452811,-0.002066248333667043,0.002173238119106764,9.233636261017731e-08,9668.027454680714,0.0008927104887805481
359,0.002479321097828983,-0.001841737017400884,0.002148819729769465,6.92522719576331e-08,9668.027454680709,0.0006695328665854117
360,0.002730070289956105,-0.001936540080369016,0.002190859878479651,9.241221468830943e-08,9659.584346220836,0.000892663582402793
361,0.002686511896312074,-0.001715591610444512,0.002164480409926917,6.930916101623199e-08,9659.584346220836,0.0006694976868020939
362,0.002946571575953504,-0.001780643444587301,0.002207224299189961,9.248241430374681e-08,9651.782180830382,0.0008926201184170763
363,0.002877657156839583,-0.001566245770026641,0.002178928275424083,6.936181072781008e-08,9651.78218083038,0.0006694650888128068
364,0.003143510462956361,-0.001600666660882678,0.002222110080520487,9.254602600722793e-08,9644.721959595778,0.0008925806893052331
365,0.003050171967669489,-0.00139571914243854,0.002191967943665195,6.940951950542097e-08,9644.721959595778,0.0006694355169789251
366,0.003318223690363447,-0.001399043606507481,0.002235315917815051,9.260220395719348e-08,9638.494495867688,0.0008925458331466264
367,0.003201723361931697,-0.001206317807782655,0.002203423075506632,6.945165296789511e-08,9638.494495867688,0.0006694093748599698
368,0.003468348561491811,-0.001178500887391033,0.002246663224778647,9.26502025923917e-08,9633.17943308814,0.0008925160260844772
369,0.003330261867002785,-0.001000603094195271,0.002213138759941332,6.948765194429379e-08,9633.179433088148,0.0006693870195633587
370,0.003591854894996237,-0.0009420209654719021,0.002255998548550712,9.268938596509267e-08,9628.844406984364,0.0008924916756367976
371,0.0034340492201074,-0.0007813569402773798,0.002220983609004417,6.951703947381945e-08,9628.844406984366,0.0006693687567275978
372,0.003687072479589203,-0.0006928018260165506,0.002263195644891828,9.271923564746168e-08,9625.544351425722,0.0008924731149549352
373,0.003511681875340334,-0.0005515442741474756,0.002226851534570021,6.953942673559627e-08,9625.544351425717,0.0006693548362162011
374,0.003752713660783322,-0.0004342137303546927,0.002268157185420484,9.273935713973492e-08,9623.32094640094,0.0008924605981185686
375,0.003562109984217131,-0.0003142729178750429,0.002230663183011199,6.955451785480118e-08,9623.320946400938,0.0006693454485889262
376,0.00378789075420933,-0.0001697536388764475,0.002270816073812473,9.274948472429373e-08,9622.202206233265,0.0008924542965410977
377,0.00358465159307384,-7.275155951847748e-05,0.002232367008321608,6.956211354322033e-08,9622.202206233267,0.0006693407224058237
378,0.004417382284752696,0.0001212525991974627,0.00240085052037893,1.166505628530621e-07,9559.505098963027,0.001115121650390754
379,0.004202843668110409,0.0002182546785554328,0.002354951070057433,9.332045028244992e-08,9559.505098963027,0.0008920973203126057
380,0.004383579421827114,0.0004591201435530925,0.002398295504284782,1.166343857242451e-07,9560.918112848094,0.001115131811051846
381,0.004159230184492226,0.0005305599163537576,0.002351654510449105,9.330750857939606e-08,9560.918112848092,0.0008921054488414766
382,0.004310781093955351,0.0007907788755803749,0.00239279298517127,1.166022435770658e-07,9563.726722153577,0.001115151992761045
383,0.004079655174495316,0.0008356902414503849,0.002345639770464456,9.328179486165237e-08,9563.726722153577,0.000892121594208833
384,0.004199971773637516,0.001111743679883851,0.002384417375169921,1.16554558109479e-07,9567.896240013477,0.001115181918292116
385,0.003965194753620241,0.001129519289644539,0.002336988189143588,9.324364648758338e-08,9567.896240013479,0.0008921455346336951
386,0.004052649966839305,0.001417674058095266,0.002373281940037782,1.164919555780805e-07,9573.375013224113,0.001115221176772809
387,0.003817396802704327,0.001408073527118391,0.00232581676428222,9.319356446246433e-08,9573.375013224113,0.0008921769414182467
388,0.003870807948269476,0.001704432826667945,0.002359537267432352,1.164152592979612e-07,9580.094880012924,0.001115269229555775
389,0.00363826003548871,0.001667585985665412,0.002312276570237199,9.313220743836897e-08,9580.094880012923,0.00089221538364462
390,0.003656904819282134,0.001968142065186989,0.002343369230471858,1.163254797244677e-07,9587.971788647523,0.001115325417899086
391,0.003430206969443743,0.001904547204473195,0.002296550714905002,9.306038377957415e-08,9587.971788647525,0.0008922603343192686
392,0.003413833252749463,0.002205235558590377,0.002324996474120182,1.162238021900413e-07,9596.906582954003,0.001115388972333551
393,0.003196051165376002,0.002115752689560518,0.002278851863501545,9.297904175203295e-08,9596.906582954003,0.0008923111778668402
394,0.00314488037462346,0.002412507024109896,0.002304667458388814,1.161115723910823e-07,9606.785961100803,0.001115459023567989
395,0.002938959178844994,0.002298346249061181,0.002259419362629965,9.288925791286597e-08,9606.785961100801,0.0008923672188543923
396,0.002853683311196453,0.002587153470745253,0.002282657098341421,1.159902797435476e-07,9617.483613512606,0.001115534614760312
397,0.002662407737931393,0.002449858618319246,0.002238516003528407,9.279222379483789e-08,9617.483613512606,0.0008924276918082479
398,0.00254418000320742,0.00272681310490887,0.002259263046339226,1.1586153875183e-07,9628.861544399417,0.001115614714962439
399,0.002370136726454012,0.002568240852457526,0.002216424468269346,9.268923100146401e-08,9628.861544399426,0.0008924917719699519
400,0.002220555951948977,0.002829597269632536,0.002234801666803441,1.15727068563312e-07,9640.771579041389,0.001115698233530952
401,0.002066098608456874,0.002651892034842115,0.002193443506969487,9.258165485064961e-08,9640.771579041389,0.0008925585868247622
402,0.001887187617542548,0.002894115985412943,0.002209603757929183,1.155886709105361e-07,9653.057055626627,0.001115784035283454
403,0.001754404977913396,0.002699680926733518,0.002169883897706941,9.247093672842889e-08,9653.057055626632,0.0008926272282267644
404,0.001548583234822975,0.002919496747299976,0.002184010078207371,1.154482066737274e-07,9665.554696111711,0.001115870956172921
405,0.001439270956471281,0.002710961265349977,0.002146064243780855,9.235856533898185e-08,9665.554696111712,0.0008926967649383365
406,0.001209321847196179,0.002905396324029402,0.002158366738250697,1.153075713277112e-07,9678.096645340769,0.001115957819249113
407,0.001124958191163196,0.002685580503462944,0.002122306665148347,9.224605706216894e-08,9678.096645340773,0.0008927662553992907
408,0.0008739913829323661,0.002852005399636906,0.002133020520241339,1.151686695681684e-07,9690.512661661551,0.001116043450677051
409,0.0008157172229414489,0.002623881872336653,0.002098932442304678,9.213493565453465e-08,9690.512661661542,0.0008928347605416394
410,0.0005471266113066977,0.002760045994783627,0.002108314188296844,1.150333894415774e-07,9702.632435730455,0.001116126695587862
411,0.0005157300054033409,0.002526699740114079,0.002076257671515705,9.202671155326193e-08,9702.632435730449,0.0008929013564702892
412,0.0002331478176241632,0.002630761702665329,0.002084581853173448,1.149035763297774e-07,9714.288007387382,0.001116206433546277
413,0.0002290533510428384,0.002395348328419152,0.002054588990158146,9.192286106382182e-08,9714.28800738738,0.0008929651468370207
414,-6.369897355624269e-05,0.002465900871547791,0.002062144453991255,1.14781007162465e-07,9725.316243750724,0.001116281593431189
415,-4.043593017901517e-05,0.002231603939763814,0.002034219429975088,9.182480572997205e-08,9725.316243750724,0.0008930252747449517
416,-0.0003393994186196927,0.002267692961355778,0.002041305418083209,1.146673652477006e-07,9735.561335427941,0.001116351167540907
417,-0.0002890934580382135,0.002037680936103769,0.002015424454324356,9.173389219816052e-08,9735.561335427941,0.0008930809340327265
418,-0.000590225142006374,0.002038818394052162,0.002022346557660935,1.145642161201829e-07,9744.877262378381,0.001116414224751773
419,-0.0005135565660384431,0.00181620179339173,0.001998458233009145,9.165137289614629e-08,9744.877262378377,0.0008931313798014179
420,-0.0008127841560949681,0.001782372305529091,0.002005524258788026,1.144729848084158e-07,9753.130176922074,0.001116469922577302
421,-0.0007107897757068441,0.001570161637088979,0.001983550205067468,9.157838784673256e-08,9753.130176922068,0.0008931759380618405
422,-0.001004066732016328,0.00150182268920471,0.001991066014198354,1.143949349138937e-07,9760.200649048475,0.001116517517994443
423,-0.000878125846233046,0.001302887738231587,0.001970901976002751,9.1515947931115e-08,9760.200649048475,0.000893214014395555
424,-0.001161486101073297,0.001200963497361457,0.001979167346847109,1.143311498772905e-07,9765.985718861039,0.00111655637692258
425,-0.001013301844325514,0.001017994517797533,0.001960684591415263,9.146491990183233e-08,9765.985718861039,0.0008932451015380633
426,-0.001282913436349768,0.0008838633344499174,0.001969989165798245,1.142825167781759e-07,9770.400702915516,0.001116585982260444
427,-0.001114489746502294,0.0007193346678634579,0.00195303622390379,9.142601342254071e-08,9770.400702915522,0.0008932687858083557
428,-0.001366706641442765,0.0005548104361932502,0.001963655590205426,1.142497129759527e-07,9773.380705461946,0.001116605940403741
429,-0.001180321159972661,0.0004109470505535601,0.001948060304518275,9.139977038076214e-08,9773.380705461948,0.0008932847523229931
430,-0.001411732556999297,0.0002182546785554324,0.001960252270813397,1.142331958513946e-07,9774.881792122915,0.001116615986183808
431,-0.001209905827802157,9.700207935797012e-05,0.001945824124032296,9.138655668111568e-08,9774.881792122915,0.0008932927889470464
432,-0.001417382284752696,-0.0001212525991974623,0.001959825231678598,1.142331958513951e-07,9774.881792122915,0.001116615986183813
433,-0.001202843668110408,-0.0002182546785554325,0.001946357922950796,9.138655668111607e-08,9774.881792122918,0.0008932927889470504
434,-0.001383579421827114,-0.0004591201435530922,0.001962380247772746,1.142497129759522e-07,9773.380705461945,0.001116605940403736
435,-0.001159230184492226,-0.0005305599163537574,0.001949654482559124,9.139977038076176e-08,9773.380705461946,0.0008932847523229892
436,-0.001310781093955352,-0.0007907788755803742,0.001967882766886258,1.142825167781755e-07,9770.400702915518,0.00111658598226044
437,-0.001079655174495317,-0.0008356902414503839,0.001955669222543773,9.142601342254042e-08,9770.400702915524,0.0008932687858083531
438,-0.001199971773637516,-0.00111174367988385,0.001976258376887606,1.14331149877291e-07,9765.985718861035,0.001116556376922584
439,-0.0009651947536202408,-0.001129519289644538,0.001964320803864641,9.146491990183265e-08,9765.985718861039,0.0008932451015380665
440,-0.001052649966839304,-0.001417674058095266,0.001987393812019747,1.143949349138935e-07,9760.200649048475,0.001116517517994441
441,-0.0008173968027043273,-0.001408073527118391,0.00197549222872601,9.151594793111485e-08,9760.200649048475,0.0008932140143955536
442,-0.0008708079482694754,-0.001704432826667945,0.002001138484625175,1.144729848084164e-07,9753.130176922072,0.001116469922577308
443,-0.00063826003548871,-0.001667585985665412,0.00198903242277103,9.157838784673306e-08,9753.130176922074,0.0008931759380618459
444,-0.0006569048192821338,-0.001968142065186989,0.00201730652158567,1.145642161201823e-07,9744.877262378383,0.001116414224751767
445,-0.000430206969443743,-0.001904547204473195,0.002004758278103227,9.165137289614591e-08,9744.877262378377,0.0008931313798014141
446,-0.0004138332527494626,-0.002205235558590377,0.002035679277937346,1.146673652477005e-07,9735.561335427939,0.001116351167540907
447,-0.0001960511653760021,-0.002115752689560518,0.002022457129506685,9.173389219816039e-08,9735.561335427938,0.0008930809340327248
448,-0.0001448803746234607,-0.002412507024109896,0.002056008293668714,1.147810071624647e-07,9725.316243750724,0.001116281593431187
449,6.104082115500457e-05,-0.002298346249061181,0.002041889630378265,9.182480572997177e-08,9725.316243750727,0.0008930252747449493
450,0.0001463166888035465,-0.002587153470745253,0.002078018653716107,1.149035763297781e-07,9714.28800738738,0.001116206433546284
451,0.0003375922620686071,-0.002449858618319246,0.002062792989479822,9.19228610638224e-08,9714.288007387382,0.0008929651468370265
452,0.0004558199967925794,-0.00272681310490887,0.002101412705718301,1.15033389441577e-07,9702.632435730449,0.001116126695587857
453,0.0006298632735459874,-0.002568240852457525,0.002084884524738883,9.202671155326164e-08,9702.632435730446,0.0008929013564702861
454,0.0007794440480510225,-0.002829597269632536,0.002125874085254087,1.151686695681686e-07,9690.51266166154,0.001116043450677052
